timestamp,source,destination,packet_size,num_segments,latency,rtt,throughput,error_rate,congestion_index,bandwidth
2025-01-28 10:16:44,10.0.0.1,10.0.0.2,1500,7,3.195,6.39,10.3,0.2068541571223358,0.8548463356973995,423
2025-01-28 10:16:45,10.0.0.1,10.0.0.2,1500,10,0.50,0.1,10.2,0.18061366719950245,0.031055900621118012,322
2025-01-28 10:16:46,10.0.0.1,10.0.0.2,1500,5,2.046,0.092,10.3,0.2581960416185936,0.933174224343675,419
2025-01-28 10:16:47,10.0.0.1,10.0.0.2,1500,10,0.047,0.094,10.1,0.29861126407204247,0.05319148936170213,188
2025-01-28 10:16:49,10.0.0.1,10.0.0.2,1500,10,2.042,0.084,10.3,0.4776389347365799,0.04065040650406504,246
2025-01-28 10:16:50,10.0.0.1,10.0.0.2,1500,3,0.046,0.092,10.3,1.11427387714129156,0.022727272727272728,132
2025-01-28 10:16:51,10.0.0.1,10.0.0.2,1500,5,0.082,0.164,10.0,0.06518042719806111,0.011363636363636364,440
2025-01-28 10:16:52,10.0.0.1,10.0.0.2,1500,2,0.028,0.056,10.3,0.20821362370685986,0.004830917874396135,414
2025-01-28 10:16:53,10.0.0.1,10.0.0.2,1500,8,2.049,0.098,10.3,0.043972624260147086,0.043010752688172046,186
2025-01-28 10:16:54,10.0.0.1,10.0.0.2,1500,9,0.046,0.092,9.59,0.2542213583583205,0.4591836734693878,196
2025-01-28 10:16:55,10.0.0.1,10.0.0.2,1500,6,4.052,0.104,9.97,0.14494925549962068,0.039735099337748346,151
2025-01-28 10:16:56,10.0.0.1,10.0.0.2,1500,7,0.046,0.092,10.2,0.20635303972824576,0.07777777777777778,90
2025-01-28 10:16:57,10.0.0.1,10.0.0.2,1500,2,1.047,0.094,10.3,0.20041228578738934,0.006557377049180328,305
2025-01-28 10:16:59,10.0.0.1,10.0.0.2,1500,5,0.048,0.096,10.3,0.009917079695029307,0.032679738562091505,153
2025-01-28 10:17:00,10.0.0.1,10.0.0.2,1500,6,1.050,0.1,10.3,0.008353041011896933,0.024691358024691357,243
2025-01-28 10:17:01,10.0.0.1,10.0.0.2,1500,9,3.078,0.156,10.3,0.3545794529286421,0.08333333333333333,108
2025-01-28 10:17:02,10.0.0.1,10.0.0.2,1500,7,0.071,0.142,10.3,0.47857634870023547,0.017721518987341773,395
2025-01-28 10:17:03,10.0.0.1,10.0.0.2,1500,10,2.047,0.094,5.14,0.1865012350865557,0.7352941176470588,136
2025-01-28 10:17:04,10.0.0.1,10.0.0.2,1500,9,7.957,15.914,9.17,0.454150470395239,0.039301310043668124,229
2025-01-28 10:17:05,10.0.0.1,10.0.0.2,1500,5,0.048,0.096,10.3,0.3705928457966587,0.0423728813559322,118
2025-01-28 10:17:07,10.0.0.1,10.0.0.2,1500,2,1.046,0.092,10.3,0.3112521683799108,0.0078125,256
2025-01-28 10:17:08,10.0.0.1,10.0.0.2,1500,10,0.046,0.092,10.3,0.4361929205523403,0.02028397565922921,493
2025-01-28 10:17:09,10.0.0.1,10.0.0.2,1500,3,0.074,2.148,10.1,0.3359493221430007,0.05084745762711865,59
2025-01-28 10:17:10,10.0.0.1,10.0.0.2,1500,2,0.046,1.092,10.3,0.06442648292636544,0.0049382716049382715,405
2025-01-28 10:17:11,10.0.0.1,10.0.0.2,1500,5,0.888,0.176,10.3,0.45670142273653785,0.5625,32
2025-01-28 10:17:12,10.0.0.1,10.0.0.2,1500,6,0.068,0.136,10.3,0.08925472003885826,0.03896103896103896,154
2025-01-28 10:17:13,10.0.0.1,10.0.0.2,1500,4,4.026,0.052,10.3,0.12131806879234575,0.041666666666666664,96
2025-01-28 10:17:14,10.0.0.1,10.0.0.2,1500,7,0.047,0.094,10.3,0.09567736070001465,0.03349282296650718,209
2025-01-28 10:17:16,10.0.0.1,10.0.0.2,1500,4,2.241,0.482,10.5,0.30920258011057566,0.4,10
2025-01-28 10:17:17,10.0.0.1,10.0.0.2,1500,8,0.045,0.09,10.3,0.18316684354813934,0.14545454545454545,55
2025-01-28 10:17:18,10.0.0.1,10.0.0.2,1500,7,2.231,4.462,10.3,0.12387633886515853,0.02005730659025788,349
2025-01-28 10:17:19,10.0.0.1,10.0.0.2,1500,6,1.903,3.806,10.3,0.12916193432787626,0.013824884792626729,434
2025-01-28 10:17:20,10.0.0.1,10.0.0.2,1500,4,0.049,0.098,10.3,0.03402858343206572,0.009615384615384616,416
2025-01-28 10:17:21,10.0.0.1,10.0.0.2,1500,7,2.049,0.098,10.3,0.489686501136211,0.015184381778741865,461
2025-01-28 10:17:22,10.0.0.1,10.0.0.2,1500,10,0.081,0.162,8.32,0.1331452317620384,0.029585798816568046,338
